image_id,file_name,gt,pred,tp,fp,fn,mean_conf
51610,000000051610.jpg,3,2,2,0,1,0.9424322843551636
51712,000000051712.jpg,2,3,2,1,0,0.6922252178192139
51738,000000051738.jpg,3,3,3,0,0,0.6652956604957581
51938,000000051938.jpg,13,9,9,0,4,0.5774968266487122
51961,000000051961.jpg,1,1,1,0,0,0.9311944842338562
51976,000000051976.jpg,2,2,2,0,0,0.6752796769142151
52007,000000052007.jpg,8,5,5,0,3,0.8156121969223022
52017,000000052017.jpg,2,1,1,0,1,0.9053305387496948
52412,000000052412.jpg,16,1,1,0,15,0.8789187669754028
52413,000000052413.jpg,5,5,2,3,3,0.7183352708816528
52462,000000052462.jpg,2,2,2,0,0,0.9248799085617065
52507,000000052507.jpg,2,2,2,0,0,0.7717306613922119
52565,000000052565.jpg,1,1,1,0,0,0.9525220990180969
52591,000000052591.jpg,2,1,1,0,1,0.9195053577423096
52891,000000052891.jpg,8,4,3,1,5,0.5837238430976868
52996,000000052996.jpg,23,12,9,3,14,0.700262725353241
53505,000000053505.jpg,9,9,9,0,0,0.5055444240570068
53529,000000053529.jpg,3,3,1,2,2,0.6642752885818481
53624,000000053624.jpg,6,7,4,3,2,0.6168409585952759
53626,000000053626.jpg,9,9,8,1,1,0.6707012057304382
53909,000000053909.jpg,2,5,2,3,0,0.6870512366294861
53994,000000053994.jpg,4,1,1,0,3,0.9801340699195862
54123,000000054123.jpg,6,4,4,0,2,0.8957175016403198
54164,000000054164.jpg,2,2,2,0,0,0.8495965600013733
54592,000000054592.jpg,5,5,4,1,1,0.6009175181388855
54593,000000054593.jpg,18,12,10,2,8,0.658814013004303
54605,000000054605.jpg,15,17,10,7,5,0.577644407749176
54628,000000054628.jpg,23,16,10,6,13,0.4914516806602478
54654,000000054654.jpg,2,2,2,0,0,0.6456230878829956
54931,000000054931.jpg,2,2,2,0,0,0.8341468572616577
54967,000000054967.jpg,16,22,11,11,5,0.5143720507621765
55002,000000055002.jpg,2,4,2,2,0,0.5350092649459839
55022,000000055022.jpg,9,12,8,4,1,0.3333939015865326
55072,000000055072.jpg,1,1,1,0,0,0.9349834322929382
55150,000000055150.jpg,15,15,8,7,7,0.5599938631057739
55167,000000055167.jpg,11,8,6,2,5,0.6745541095733643
55299,000000055299.jpg,3,2,1,1,2,0.672126293182373
55528,000000055528.jpg,7,8,4,4,3,0.6040900945663452
55950,000000055950.jpg,3,3,3,0,0,0.8788960576057434
56127,000000056127.jpg,8,7,2,5,6,0.38047927618026733
56288,000000056288.jpg,3,5,3,2,0,0.5656735897064209
56344,000000056344.jpg,7,8,6,2,1,0.7522614002227783
56350,000000056350.jpg,10,2,1,1,9,0.2776772975921631
56545,000000056545.jpg,1,1,1,0,0,0.47013217210769653
57027,000000057027.jpg,4,6,4,2,0,0.7375724911689758
57149,000000057149.jpg,6,6,3,3,3,0.5007343292236328
57150,000000057150.jpg,23,16,9,7,14,0.41632845997810364
57232,000000057232.jpg,15,20,1,19,14,0.5588850975036621
